INPUT  clk_12mhz 	 location (7, 0, 0) 	 D2 	 
INPUT  bno_interrupt 	 location (2, 0, 1) 	 E1 	 
OUTPUT vox_out_rxd_p 	 location (6, 0, 1) 	 F3 	 
OUTPUT vox_out_clk_p 	 location (6, 15, 1) 	 C6 	 
INPUT  vox_in_rxd_p 	 location (9, 15, 0) 	 A4 	 
INPUT  vox_in_clk_p 	 location (7, 15, 0) 	 B6 	 
OUTPUT led_io 	 location (2, 15, 0) 	 A2 	 
INOUT i2c_scl 	 location (4, 0, 1) 	 C1 	 SB_LVCMOS
OUTPUT bno_rstn 	 location (9, 15, 1) 	 B5 	 
OUTPUT vox_out_rxd_n 	 location (3, 0, 1) 	 F2 	 
OUTPUT vox_out_clk_n 	 location (9, 0, 0) 	 D6 	 
INOUT i2c_sda 	 location (4, 0, 0) 	 D1 	 SB_LVCMOS
