OUTPUT vox_tx_n 	 location (4, 0, 1) 	 C1 	 
OUTPUT flash_sck 	 location (12, 0, 0) 	 E6 	 
INPUT  clk 	 location (4, 15, 0) 	 C2 	 
OUTPUT bno_scl 	 location (6, 15, 1) 	 C6 	 
OUTPUT led_tx 	 location (2, 15, 0) 	 A2 	 
OUTPUT bno_rst_n 	 location (7, 15, 0) 	 B6 	 
OUTPUT vox_tx_p 	 location (4, 0, 0) 	 D1 	 
OUTPUT led_io 	 location (3, 15, 0) 	 A1 	 
INOUT bno_sda 	 location (9, 0, 0) 	 D6 	 
OUTPUT led_rx 	 location (2, 15, 1) 	 B1 	 
OUTPUT flash_cs_n 	 location (12, 0, 1) 	 F5 	 
OUTPUT flash_mosi 	 location (11, 0, 0) 	 F6 	 
