Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,100n,C_0201_0603Metric,145.25,-92.45,-90,top
C103,100n,C_0201_0603Metric,145.25,-94.15,90,top
C104,1u,C_0201_0603Metric,147.95,-88.2,90,top
C105,1u,C_0201_0603Metric,146.85,-87.15,180,top
C107,100n,C_0201_0603Metric,147.65,-90.200566,90,top
C108,1u,C_0201_0603Metric,152.4,-88.35,90,top
C109,1u,C_0201_0603Metric,151.303199,-87.15,180,top
C110,10u,C_0201_0603Metric,145.7,-88.2,90,top
C112,100n,C_0201_0603Metric,148.95,-94.405,90,top
C113,100n,C_0201_0603Metric,146.85,-91.55,90,top
C114,1u,C_0201_0603Metric,150.15,-88.2,90,top
C115,1u,C_0201_0603Metric,149.05,-87.15,180,top
C116,100n,C_0201_0603Metric,151.65,-90.7,0,top
D101,LED,LED_0201_0603Metric,143.8,-85.4825,90,top
D102,LED,LED_0201_0603Metric,144.5,-85.4825,90,top
D201,TVS,WLL-2-3,153.2,-92.52,0,top
D202,TVS,WLL-2-3,153.2,-93.79,0,top
D203,TVS,WLL-2-3,153.2,-95.06,0,top
D204,TVS,WLL-2-3,152.56,-95.7,-90,top
D205,TVS,WLL-2-3,151.29,-95.7,-90,top
D206,TVS,WLL-2-3,150.02,-95.7,-90,top
D207,TVS,WLL-2-3,148.75,-95.7,-90,top
D208,TSV,WLL-2-3,147.48,-95.7,-90,top
D209,TVS,WLL-2-3,144.94,-95.7,-90,top
D210,TVS,WLL-2-3,146.21,-95.7,-90,top
D211,TVS,WLL-2-3,144.3,-89.98,0,top
D212,TVS,WLL-2-3,144.3,-91.25,0,top
D213,TVS,WLL-2-3,144.3,-92.52,0,top
D214,~,WLL-2-3,144.3,-93.79,0,top
D215,TVS,WLL-2-3,144.3,-88.71,0,top
D216,TVS,WLL-2-3,153.2,-87.44,0,top
D217,TVS,WLL-2-3,153.2,-88.71,0,top
D218,TVS,WLL-2-3,153.2,-89.98,0,top
D219,TVS,WLL-2-3,153.2,-91.25,0,top
D220,TVS,WLL-2-3,144.3,-95.06,0,top
D221,TVS,WLL-2-3,145.75,-86.7875,180,top
D222,TVS,WLL-2-3,153.6,-86.2625,0,top
D223,TVS,WLL-2-3,152.45,-86.8375,180,top
D224,TVS,WLL-2-3,150.2,-86.7875,180,top
D225,TVS,WLL-2-3,148,-86.7875,180,top
D226,TVS,WLL-2-3,145.2,-85.9025,180,top
J201,Connector_Left,7-Pin_Casselated_Edge,142.25,-91.25,180,top
J202,Connector_Bottom,7-Pin_Casselated_Edge,148.75,-97.75,-90,top
J203,Connector_Right,7-Pin_Casselated_Edge,155.25,-91.25,0,top
J205,Connector_Top,6-Pin_Casselated_Edge,148.75,-84.75,90,top
R101,22R,R_0201_0603Metric,146.95,-90.20217,90,top
R103,510R,R_0201_0603Metric,144.3,-87.25,90,top
R104,10k,R_0201_0603Metric,150.25,-90.7,0,top
R105,10k,R_0201_0603Metric,148.95,-92.095,90,top
R106,510R,R_0201_0603Metric,145,-87.25,90,top
U101,TPS7A20L_1V2,Texas_X2SON-4_1x1mm_P0.65mm,146.825,-88.35,-90,top
U102,ICE40UL1K-CM36AI,UCBGA-36_2.5x2.5mm_Layout6x6_P0.4mm,147.1,-93.7,0,top
U103,TPS7A20L_2V5,Texas_X2SON-4_1x1mm_P0.65mm,151.275,-88.35,-90,top
U104,TPS7A20L_3V3,Texas_X2SON-4_1x1mm_P0.65mm,149.05,-88.35,-90,top
U105,N25Q032A,U-PDFN-8,151.05,-93.25,180,top
Y101,12MHz,Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm,145.7,-90.55,180,top
