Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,149.15,-89.05,0,top
C2,100n,C_0402_1005Metric,151.7,-90.3,90,top
C3,1u,C_0402_1005Metric,145.277678,-86.95,90,top
C4,1u,C_0402_1005Metric,147.702678,-86.95,-90,top
C5,100n,C_0402_1005Metric,146.225,-91.075,90,top
C6,15pF,C_0402_1005Metric,149.75,-86.95,90,top
C7,15pF,C_0402_1005Metric,151.15,-86.5,180,top
D1,LED,LED_0402_1005Metric,144.25,-85.75,90,top
D2,TVS,WLL-2-3,144.3,-88.35,180,top
D3,TVS,WLL-2-3,144.3,-89.98,0,top
D4,TVS,WLL-2-3,144.3,-91.25,0,top
D5,TVS,WLL-2-3,144.3,-92.52,0,top
D6,TVS,WLL-2-3,144.3,-93.79,0,top
D7,TVS,WLL-2-3,144.3,-95.06,0,top
D8,TVS,WLL-2-3,153.2,-92.52,0,top
D9,TVS,WLL-2-3,153.2,-91.25,0,top
D10,TVS,WLL-2-3,153.2,-89.98,0,top
D11,TVS,WLL-2-3,153.2,-88.71,0,top
D12,TVS,WLL-2-3,153.2,-95.06,0,top
D13,TVS,WLL-2-3,153.2,-93.79,0,top
J1,Connector_Left,7-Pin_Casselated_Edge,142.25,-91.25,180,top
J2,Connector_Right,7-Pin_Casselated_Edge,155.25,-91.25,0,top
R1,4k7,R_0402_1005Metric,145.275,-91.075,90,top
R2,4k7,R_0402_1005Metric,145.275,-89.2,-90,top
R3,10k,R_0402_1005Metric,150.34,-96.225,180,top
R4,10k,R_0402_1005Metric,145.75,-93.075,180,top
R5,4k7,R_0402_1005Metric,147.65,-96.25,0,top
R6,4k7,R_0402_1005Metric,145.675,-96.25,0,top
R7,510R,R_0402_1005Metric,148.65,-86.95,-90,top
R8,10k,R_0402_1005Metric,146.225,-89.2,-90,top
R9,22R,R_0402_1005Metric,152.5,-86.95,90,top
U1,BNO086,LGA-28_5.2x3.8mm_P0.5mm,149,-92.52,-90,top
U2,TPS7A20L_3V3,Texas_X2SON-4_1x1mm_P0.65mm,146.5,-86.95,-90,top
Y1,32.768 kHz,Crystal_SMD_MicroCrystal_CM9V-T1A-2Pin_1.6x1.0mm,151.1,-88.2,-90,top
